timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
8.5765,guard_position,1.0516,0.4173,0.7344,8.85,47.01,0.093,1.0516
8.6099,forward_movement,1.0761,0.5841,0.8301,2.95,75.26,0.3009,1.0761
8.6433,backward_movement,0.7238,0.3424,0.5331,4.67,82.02,0.7238,0.6299
8.6766,kick_low,0.6232,1.1884,0.9058,11.69,100.01,0.46,0.6232
8.71,kick_low,1.4771,1.1382,1.3077,2.41,75.06,0.6296,1.4771
8.7434,guard_position,1.3229,0.6636,0.9932,34.22,41.42,1.3229,1.1131
8.7767,backward_movement,1.0732,0.6396,0.8564,20.94,35.92,1.0732,0.7527
8.8101,forward_movement,0.3615,0.4244,0.393,14.36,52.77,0.3615,0.3486
8.8435,forward_movement,0.7917,0.6576,0.7247,5.21,56.49,0.2458,0.7917
8.8769,guard_position,1.4969,0.4887,0.9928,17.43,82.56,0.3883,1.4969
8.9102,forward_movement,0.2983,0.7384,0.5183,13.4,73.59,0.1301,0.2983
8.9436,punch_right,1.455,0.5179,0.9864,8.94,111.5,0.4403,1.455
8.977,guard_position,0.4208,0.5032,0.462,24.19,68.95,0.4208,0.346
9.0103,forward_movement,0.6359,0.7008,0.6684,26.52,53.59,0.2344,0.6359
9.0437,kick_low,1.0838,1.1283,1.1061,36.98,77.48,0.5378,1.0838
9.0771,forward_movement,0.4892,0.5795,0.5343,40.83,68.68,0.3551,0.4892
9.1105,guard_position,1.1155,0.4544,0.7849,38.92,25.26,0.1478,1.1155
9.1438,kick_low,0.9494,2.907,1.9282,30.61,63.78,0.1769,0.9494
9.1772,kick_low,1.4869,3.069,2.278,35.38,76.31,0.3365,1.4869
9.2106,guard_position,2.6469,0.0722,1.3595,49.81,43.52,0.2696,2.6469
9.2439,kick_low,2.986,1.035,2.0105,53.66,88.14,0.3621,2.986
9.2773,kick_low,2.8472,1.6723,2.2598,45.78,163.62,0.6518,2.8472
9.3107,punch_right,1.4774,0.8279,1.1527,24.43,162.76,1.3724,1.4774
9.3441,kick_low,1.4914,8.7222,5.1068,65.65,111.45,1.4914,0.9298
9.3441,guard_position,0.0,0.0,0.0,53.2,149.39,0.0,0.0
9.3774,kick_low,4.2184,1.4613,2.8399,78.2,29.08,4.2184,1.3338
9.4108,kick_low,2.1855,4.2914,3.2385,4.66,44.37,2.1855,0.2221
9.4442,kick_low,1.3975,1.5287,1.4631,1.71,150.25,1.3975,0.1685
9.4776,kick_low,1.7363,5.0591,3.3977,52.63,119.46,1.7363,0.8659
9.5109,kick_low,4.5206,6.65,5.5853,62.6,85.33,1.7551,4.5206
9.5443,kick_low,0.8776,4.6746,2.7761,66.77,52.67,0.8776,0.5906
9.5777,kick_low,0.7249,0.9173,0.8211,74.26,58.92,0.7249,0.1619
9.611,kick_low,0.6441,3.4311,2.0376,87.14,113.57,0.6441,0.3259
9.6444,kick_low,4.3635,5.7551,5.0593,109.99,91.94,2.7991,4.3635
9.6778,kick_low,2.5846,0.9648,1.7747,157.43,84.5,2.5846,0.2552
9.7112,kick_low,2.5363,1.2738,1.9051,164.06,23.25,0.6711,2.5363
9.7445,kick_low,1.8263,9.4626,5.6445,179.85,1.37,1.0823,1.8263
9.7779,kick_low,2.3937,7.7278,5.0607,152.14,64.89,0.9185,2.3937
